SEARCH_ID,TWEET_TEXT,KEYWORDS,CREATION_DATE
71,"how to go home? yatis ang ulan",Yatis,2016-10-02
70,"Our point of power is always in the present moment. #LouiseHay
To zenify ur moments focus on ONE thing at a time.   https://t.co/vcQdrZIWhJ",Zenify,2016-10-02
70,"With 10,000+ happy customers in #Bengaluru, #Zenify will find you a place to call home! Find 2BHKs on rent: https://t.co/OqHZMLbmkA",Zenify,2016-10-02
70,"At #Zenify, we assure you handover in top condition, on the committed date! Try zenify.in!",Zenify,2016-10-02
70,"Worried about how your tenants are keeping your #rented apartment back home? Sign up with #Zenify for #property #management! zenify.in",Zenify,2016-10-02
70,"Don't suffer the wrath of Whitefield traffic everyday! Find a flat for rent in #Hoodi, #Bengaluru! https://t.co/wvR3qXW0dq",Zenify,2016-10-02
70,"Movie buff? Find a home in the vicinity of movie theatres. #Rent an #apartment in Doddanekundi! https://t.co/fKJ7wkWd0r",Zenify,2016-10-02
70,"If Thumbelina had moved into a #Zenify home, she wouldn't have dealt with the mole or beetle. She'd have lived… https://t.co/2viCyiWyEr",Zenify,2016-10-02
70,"Not comfortable with handling #tenant queries & termination? Leave it to #Zenify! We do end-to-end #property management for you! zenify.in",Zenify,2016-10-02
70,".@zenifyIn is hiring much faster with the help of @Instahyre. Read their success story here.@AkhilKittur65
https://t.co/aGZYY0ugDW",Zenify,2016-10-02
70,"I need like 10000 Zenify drinks  ",Zenify,2016-10-02
70,"Happy Friday ya'll! Can't think of a better way to start my day than with Lonely Boy's latest Zenify Music... https://t.co/5ec9d10Kny",Zenify,2016-10-02
70,"Get assured rent with the #Zenify guarantee! Learn more about our promise: https://t.co/sZgx5Xempq",Zenify,2016-10-02
70,"Why move into a flat with broken fixtures when you can opt for a #Zenify home with all repairs complete? Get #handovers in top condition!",Zenify,2016-10-02
70,"Are you an NRI with a #property back home? Let us #manage it for you so that you can stay hassle free! https://t.co/hZDEMmkFtT",Zenify,2016-10-02
70,"A new favorite: Zenify Music 012 - Lonely Boy by @zenifymusic https://t.co/EtKsaAXMAg on #SoundCloud",Zenify,2016-10-02
70,"Looking for a place to stay in #Thubarahalli? Find #rental #properties on #Zenify:  https://t.co/bw7CrurDz2 https://t.co/kTtV5q70Ut",Zenify,2016-10-02
70,"Want to experience what old #Bengaluru felt like? Find #flats for #rent in #South Bangalore on Zenify! https://t.co/Ft2jx6bdMl",Zenify,2016-10-02
70,"Zenify is looking for a Passionate HR who can join immediately with min 6 months of experience in to Generalist & Non IT Recruitment and al…",Zenify,2016-10-02
70,"Zenify is looking for a Passionate Non IT recruiter who can join immediately and open explore more areas of Human Re…https://t.co/EzsNBVAJpa",Zenify,2016-10-02
70,"Stay close to the happening hub of #Bengaluru city! Find homes near #Indiranagar & CV Raman Nagar here: https://t.co/kAm1C9sMjO",Zenify,2016-10-02
70,"#Zenify gives you the promise of quality! Find brand new #properties in the locality of your choice, only on… https://t.co/m5kKAOnw1G",Zenify,2016-10-02
70,"Had Rapunzel lived in a Zenify home, she would have had multiple facilities & would have lived #HappilyEverAfter! https://t.co/mV4hLKeLHs",Zenify,2016-10-02
69,"[Blog] 7 strategies to get your #webpushnotifications right. Read now: https://t.co/4bCP1dl2tX #webmarketing #growth #onlinemarketing",MoEngage,2016-10-02
69,"@raviteja2007 @moengage Thnak you so much for the team to fix the problem!! https://t.co/LsJ4jJWAHK",MoEngage,2016-10-02
69,"FAQ: Why some of your users are not receiving #pushnotifications? https://t.co/ZknCv3pCyz #mobilemarketing #appmarketing",MoEngage,2016-10-02
69,"5 myths about #inappmessages busted & why you need to get started on in-apps right now! #appmarketing #mobilegrowth https://t.co/SlH3GBn0YN",MoEngage,2016-10-02
69,"5 myths about in-app messages busted - https://t.co/ccpBUuWpA7
#marketing #digitalmedia",MoEngage,2016-10-02
69,"[Blog] Did you know? Deploying #inappmessages doesn't need coding or design support? More such in-app myths busted: https://t.co/QLH98l3FEb",MoEngage,2016-10-02
69,"MoEngage - Digital Marketeer/Growth Hacker (3-6 yrs) | https://t.co/Zm93BZK8HI",MoEngage,2016-10-02
69,"MoEngage - Customer Success Manager (2-5 yrs) | https://t.co/prQlScTrkh",MoEngage,2016-10-02
69,".@moengage team, pls help to fix the HTML email rendering problem in mobile ASAP. Thanks! #emailmarketing… https://t.co/OThi807kOw",MoEngage,2016-10-02
69,"@raviteja2007 @moengage Thanks Ravi.. @moengage is a part of our journey!",MoEngage,2016-10-02
69,"RT @balap: @raviteja2007 @moengage Thanks Ravi.. @moengage is a part of our journey!",MoEngage,2016-10-02
69,"@balap all the best Bala. Glad to see you guys using @moengage from the beginning, happy to be part of your journey.",MoEngage,2016-10-02
69,"MoEngage - Business Development Executive (2-4 yrs) | https://t.co/5NoRMgyXeP",MoEngage,2016-10-02
69,"How back-to-school shopping season puts #omnichannel strategies to the test. https://t.co/zjpYIJIyts #mobilemarketing #growth",MoEngage,2016-10-02
69,"Quick Read: All you need to know about #ChromePushNotifications in under 5 minutes https://t.co/mjarX5gQSC #webmarketing #growth #marketing",MoEngage,2016-10-02
69,"This Diwali is going to be a colorful one with #UnboxDiwaliSale! Excited to be partnered with @snapdeal https://t.co/vxC6988t59",MoEngage,2016-10-02
69,"Interesting! https://t.co/TaN088vMN9",MoEngage,2016-10-02
69,"@lcdvirgo @moengage hey thanks for tweeting, our team has already reached out and helping fix the rendering issue.",MoEngage,2016-10-02
69,"RT @moengage: FAQ: Why some of your users are not receiving #pushnotifications? https://t.co/ZknCv3pCyz #mobilemarketing #appmarketing",MoEngage,2016-10-02
69,"@raviteja2007 @moengage Thanks for the attempt for fixing, but the rendering is still broken on my iOS Inbox and Gm… https://t.co/ytC6ibgtwB",MoEngage,2016-10-02
69,"[Article] Hey #marketer, wondering why your users are not receiving #pushnotifications? Explained here https://t.co/ZknCv3pCyz #mobilegrowth",MoEngage,2016-10-02
69,"@balap Good luck Bala!",MoEngage,2016-10-02
69,"[Blog] How #chromepushnotifications work & why they are important for your business: https://t.co/mjarX5gQSC #webmarketing #growthmarketing",MoEngage,2016-10-02
68,"WIVMUG October 4th Meeting at FVTC is on!! Thank you Turbonomic & Druva! https://t.co/IlVWRbv9AK",Druva,2016-10-02
